Nombre,Equipo,Minutos Jugados,Partidos,Goles,Asistencias,Distancia Cubierta,Top Speed
Konaté,Salzburg - Forward,238,5,0,0,31.8,34.4
Nedeljković,Crvena zvezda - Defender,238,4,0,0,29.9,32.2
Wilson,Newcastle - Forward,237,4,0,0,25.8,33.5
Musa,Benfica - Forward,233,6,0,0,32.8,34.3
Volland,Union Berlin - Forward,233,5,1,0,30.6,32.3
Antony,Man United - Forward,233,4,0,0,28.3,34.3
Tetê,Galatasaray - Forward,230,5,1,1,28.8,32
Gavi,Barcelona - Midfielder,229,3,1,0,33,31.9
Thomasson,Lens - Midfielder,224,5,1,0,34.5,29.6
De Laet,Antwerp - Defender,224,4,0,0,27.7,34.2
Nico González,FC Porto - Midfielder,222,6,0,0,33.2,31.5
Bondarenko,Shakhtar Donetsk - Midfielder,220,4,0,0,30,31.4
Jesús Navas,Sevilla - Forward,219,4,0,0,26.7,32.2
Ulmer,Salzburg - Defender,219,3,0,0,25.9,33.3
Zakharyan,Real Sociedad - Midfielder,217,5,0,0,29.1,32.9
Bobb,Man City - Forward,217,4,1,0,28.9,32.5
Blum,Young Boys - Defender,217,4,1,0,27.4,33
Newerton,Shakhtar Donetsk - Midfielder,217,4,0,0,27.7,33
Soumaré,Sevilla - Midfielder,215,4,0,0,25.2,32.7
Mário Rui,Napoli - Defender,214,4,0,1,24.4,32.8
Castellanos,Lazio - Forward,213,7,0,0,28.9,32.1
Wan-Bissaka,Man United - Defender,213,3,0,1,25.6,32.6
Gonçalo Ramos,Paris - Forward,211,7,0,0,30.4,29.8
Ratkov,Salzburg - Forward,211,6,0,0,29.2,31.8
Abel Ruiz,Braga - Forward,211,6,0,0,26.3,32.2
S. Mitrović,Crvena zvezda - Midfielder,211,3,0,0,26.9,31.5
Capaldo,Salzburg - Midfielder,210,4,0,0,27.4,32.8
Krunić,Milan - Midfielder,210,4,0,0,26.4,29.7
Otávio,FC Porto - Defender,210,2,0,1,23,33.8
HJ Yang,Celtic - Midfielder,209,4,0,0,24.6,33.2
Kerk,Antwerp - Midfielder,207,5,0,0,28.5,33.2
Kjærgaard,Salzburg - Midfielder,206,3,0,1,29.9,32.1
Pavlovic,Bayern - Midfielder,206,3,0,0,28.7,31.3
Mendes,Braga - Defender,205,5,0,0,27.4,33.4
Ivanušec,Feyenoord - Forward,204,5,0,1,28.8,29.9
Eriksen,Man United - Midfielder,204,4,0,1,28.7,30.2
Nazaryna,Shakhtar Donetsk - Midfielder,203,4,0,1,27.9,30.4
Bynoe-Gittens,Dortmund - Midfielder,202,7,1,0,28.3,34.5
Asllani,Inter - Midfielder,202,6,0,0,30.7,29.3
Lučić,Crvena zvezda - Midfielder,202,6,0,0,28.4,31.4
Sergi Roberto,Barcelona - Midfielder,202,5,0,1,32.5,30.9
De Bruyne,Man City - Midfielder,202,2,2,1,25.4,32.7
Gnabry,Bayern - Forward,200,7,2,0,24.5,33.1
Mertens,Galatasaray - Forward,200,5,0,0,24.3,30.3
Fofana,Union Berlin - Forward,198,4,1,0,26,34.5
Minteh,Feyenoord - Forward,197,4,1,0,25.4,34.1
Acuña,Sevilla - Defender,197,3,0,1,22.1,33.3
Sergio Gómez,Man City - Defender,195,5,0,0,25.8,31.3
Arnautović,Inter - Forward,193,4,2,0,23.1,31.9
Bah,Benfica - Defender,193,3,0,0,25.7,33
Meling,Copenhagen - Defender,192,3,0,1,26.2,31.6
Fran García,Real Madrid - Defender,189,4,0,1,25.4,34.6
Turrientes,Real Sociedad - Midfielder,188,6,0,0,26.6,30.7
Pedro Rodríguez,Lazio - Forward,187,8,2,0,26.6,31.8
Lamela,Sevilla - Forward,186,3,0,0,25.1,31.5
Østigård,Napoli - Defender,185,4,1,0,21.8,30.1
Til,PSV - Midfielder,184,5,0,0,24.1,33.5
Mauro Júnior,PSV - Defender,183,3,0,0,24,29.1
Piątkowski,Salzburg - Defender,181,3,0,0,22.1,32.7
Olmo,Leipzig - Forward,180,3,1,0,21.1,31.4
Orbán,Leipzig - Defender,180,2,1,0,20.2,30.6
Terzić,Salzburg - Defender,180,2,0,0,24.1,34
McKenna,Copenhagen - Defender,180,2,0,0,21.9,30.5
Casale,Lazio - Defender,180,2,0,0,21.9,33.3
Nyland,Sevilla - Goalkeeper,180,2,0,0,12.7,25.6
Wellenreuther,Feyenoord - Goalkeeper,180,2,0,0,11.7,24.8
Iñaki Peña,Barcelona - Goalkeeper,180,2,0,0,11.1,21.7
Neres,Benfica - Forward,178,3,0,0,22.2,35.4
Jaeckel,Union Berlin - Defender,175,3,0,0,21.1,30
Nelson,Arsenal - Forward,174,5,0,2,22.6,32.7
Olayinka,Crvena zvezda - Forward,174,5,0,0,22.7,32.2
Miley,Newcastle - Midfielder,171,3,0,1,24.7,31.9
Bisseck,Inter - Defender,171,3,0,1,21.1,32.6
Elustondo,Real Sociedad - Defender,170,5,0,0,20.9,32.7
Casemiro,Man United - Midfielder,167,2,2,0,20.9,29.8
Chukwueze,Milan - Forward,166,4,2,0,21.5,31.9
Lang,PSV - Forward,166,2,0,0,20.8,33.5
Kike Salas,Sevilla - Defender,166,2,0,0,19.1,31.7
Elmas,Leipzig - Midfielder,164,7,0,0,23.6,31.4
Males,Young Boys - Midfielder,164,6,0,0,23.8,31.7
Tonali,Newcastle - Midfielder,162,3,0,0,21.3,35.5
Nsame,Young Boys - Forward,160,4,0,1,19.5,31.9
Pellegrini,Lazio - Defender,160,4,0,0,19.9,34.2
Tomás Araújo,Benfica - Defender,159,3,0,0,20.3,31.2
Danilo,Paris - Midfielder,159,3,0,0,17.5,30.8
Cajuste,Napoli - Midfielder,158,6,0,0,22.9,32.1
Vertessen,PSV - Forward,158,5,1,2,20.8,34.3
Florenzi,Milan - Defender,157,4,0,0,20.2,30.4
Cataldi,Lazio - Midfielder,156,5,0,0,25.5,30.7
Solet,Salzburg - Defender,154,3,0,0,18.3,32.4
Ilenikhena,Antwerp - Forward,153,6,1,0,19.6,32.9
Reguilón,Man United - Defender,153,2,0,0,19.4,33.3
Ejuke,Antwerp - Midfielder,152,4,0,0,21.5,32
Ceballos,Real Madrid - Midfielder,152,3,1,0,20.7,29.2
Ueda,Feyenoord - Forward,149,5,0,1,19.4,30.2
Pobega,Milan - Midfielder,149,4,0,0,21.5,32.4
Kanga,Crvena zvezda - Midfielder,148,3,0,1,20.5,28.4
Bardghji,Copenhagen - Forward,144,4,1,0,22,28.7
Óskarsson,Copenhagen - Forward,142,6,0,1,21.8,30.9
Tel,Bayern - Forward,139,8,2,1,20.3,33.1
Nene,Salzburg - Forward,139,4,0,0,19.6,33.5
Alonso,Barcelona - Defender,139,3,0,0,19.3,31.2
El Aynaoui,Lens - Midfielder,137,3,0,0,19.8,33
Hatate,Celtic - Defender,137,3,0,0,16.7,27.3
Rovella,Lazio - Midfielder,136,3,0,0,21.7,31.1
Nketiah,Arsenal - Forward,135,6,1,0,18.8,32.2
Tengstedt,Benfica - Forward,135,4,0,2,18.9,32.3
Shaw,Man United - Defender,135,2,0,1,15.6,32.6
Aaronson,Union Berlin - Midfielder,134,6,0,0,24.6,32.8
Pepi,PSV - Forward,133,8,1,1,20.4,32.3
Kelsy,Shakhtar Donetsk - Forward,131,5,1,0,17.9,31.2
Cho,Real Sociedad - Forward,130,4,0,0,16.2,32.5
Phillips,Man City - Midfielder,128,4,1,0,18.2,31.8
D. Jurásek,Benfica - Defender,128,3,0,0,17.5,33.7
Colley,Young Boys - Forward,127,2,1,0,16.1,31.8
Sérgio Oliveira,Galatasaray - Midfielder,124,5,0,1,18.1,28.9
Trimmel,Union Berlin - Defender,124,3,0,0,17,31.1
Barış Alper Yılmaz,Galatasaray - Forward,123,6,0,1,17.8,33.3
Adli,Milan - Midfielder,122,3,0,0,17.4,31.3
Pacheco,Real Sociedad - Defender,121,5,0,0,15.2,30.9
Carvalho,Leipzig - Midfielder,121,3,0,0,17.6,30.8
Cabral,Benfica - Forward,120,4,1,0,14.6,34.8
Asensio,Paris - Forward,119,6,0,0,19.1,31.4
Haïdara,Lens - Defender,115,4,0,0,16.6,32.2
Mijatović,Crvena zvezda - Forward,115,4,0,0,14,29.7
Baumgartner,Leipzig - Midfielder,113,6,0,1,20.3,30.8
Ganvoula,Young Boys - Forward,113,6,0,0,15,33.1
Pereira Da Costa,Lens - Midfielder,113,3,0,0,14.6,33.3
Mattsson,Copenhagen - Midfielder,113,2,1,0,15.8,30.3
Cuadrado,Inter - Midfielder,113,2,0,0,14.3,32.5
Florentino,Benfica - Midfielder,111,3,0,0,14.9,29.4
Bernat,Benfica - Defender,111,2,0,0,13.2,31.2
Krasso,Crvena zvezda - Forward,108,4,0,1,15.3,29.1
Pellistri,Man United - Midfielder,108,3,0,0,14,33.3
Hamilton,Man City - Midfielder,106,2,1,0,9.8,31.7
Nelsson,Galatasaray - Defender,102,4,0,0,12.6,30.2
Depay,Atlético de Madrid - Forward,102,3,1,0,13.7,31.2
J. Larsson,Copenhagen - Forward,101,5,0,0,15.2,33.5
Sadiq,Real Sociedad - Forward,101,4,0,0,14.1,31.4
Óliver Torres,Sevilla - Midfielder,101,3,0,0,14.4,31.4
Willock,Newcastle - Forward,101,2,0,0,11.4,33.8
HG Oh,Celtic - Forward,100,5,0,0,14.2,34.1
Traorè,Napoli - Midfielder,100,2,0,0,13,31.9
Van Aanholt,PSV - Defender,99,2,0,0,13.4,33
Aguilar,Lens - Defender,99,2,0,0,12.6,30.2
Johnston,Celtic - Forward,97,2,0,0,11.6,32.8
Odriozola,Real Sociedad - Defender,96,3,0,0,13.6,33.5
Simeone,Napoli - Forward,94,6,1,0,15.2,33
Van Den Bosch,Antwerp - Defender,94,3,0,0,11.9,31.9
Forrest,Celtic - Midfielder,93,3,0,0,12.7,30.4
Badé,Sevilla - Defender,93,2,0,0,12.1,32.1
Boilesen,Copenhagen - Defender,92,3,0,0,11.2,28.4
Lenz,Leipzig - Defender,92,2,0,0,12.3,31.4
André Silva,Real Sociedad - Forward,92,2,0,0,10.9,30.3
Mount,Man United - Midfielder,91,2,0,0,11.6,31.2
Obispo,PSV - Defender,91,2,0,0,11,29.7
Ndombélé,Galatasaray - Midfielder,90,4,0,0,11.8,31.1
Miroshi,Shakhtar Donetsk - Midfielder,90,1,0,0,11.3,29.5
Kalulu,Milan - Defender,90,1,0,0,10.6,29.9
Lustenberger,Young Boys - Defender,90,1,0,0,10,28.8
Botman,Newcastle - Defender,90,1,0,0,9.7,28.6
Li. Martínez,Man United - Defender,90,1,0,0,9.6,31.2
Meyer,Dortmund - Goalkeeper,90,1,0,0,6.6,24.6
Lammens,Antwerp - Goalkeeper,90,1,0,0,6.5,20.7
Ramsdale,Arsenal - Goalkeeper,90,1,0,0,6.4,23.4
Von Ballmoos,Young Boys - Goalkeeper,90,1,0,0,6.1,21.7
Audero,Inter - Goalkeeper,90,1,0,0,5.8,27.3
Dúbravka,Newcastle - Goalkeeper,90,1,0,0,5.5,29.6
Courtois,Real Madrid - Goalkeeper,90,1,0,0,4.8,22.7
Jaime,FC Porto - Midfielder,89,4,0,0,14,29.3
Murphy,Newcastle - Forward,87,3,0,1,11.3,32.5
Fábio Vieira,Arsenal - Midfielder,86,3,0,0,11.4,32.2
